constant_function,sum_function,product_function,naive_function,horner_function,bubblesort_function,quicksort_function,timsort_function,matmul_function,dot_function
1.3999999999292356e-06,9.999999996068709e-06,1.200000000523005e-05,3.0299999999927614e-05,3.999999999892978e-06,2.8999999999168584e-06,2.560000000007001e-05,2.4000000000024e-05,1.770000000078653e-05,1.3900000000788282e-05
1.3999999999292356e-06,8.300000004624053e-06,8.600000001024455e-06,9.759999999991996e-05,2.0099999999967366e-05,7.899999999949614e-06,6.529999999993485e-05,4.93000000001409e-05,1.1599999998779252e-05,1.2199999998685485e-05
1.3999999999292356e-06,9.400000003267905e-06,9.599999998499698e-06,4.579999999987372e-05,2.4400000000035504e-05,2.699999999999925e-05,2.6400000000093016e-05,2.3099999999942607e-05,1.0699999998919909e-05,1.1900000000508724e-05
1.2999999998708493e-06,1.049999999480633e-05,1.049999999480633e-05,5.750000000004363e-05,2.6299999999812584e-05,2.1999999999966487e-05,2.449999999987185e-05,2.3200000000001e-05,1.0299999999574538e-05,1.199999999990098e-05
1.3000000000928935e-06,1.1400000005323818e-05,1.1199999995881171e-05,6.629999999985259e-05,2.61000000001399e-05,3.5299999999960356e-05,6.74999999998871e-05,2.5199999999836464e-05,1.0500000000135401e-05,1.1699999999947865e-05
1.2999999998708493e-06,1.2099999999293232e-05,2.2100000002467368e-05,7.639999999997649e-05,2.7600000000127533e-05,5.0000000000105516e-05,9.970000000003587e-05,0.0002010999999999541,1.0699999998919909e-05,1.6300000000413206e-05
1.3999999999292356e-06,1.3200000005042511e-05,2.5299999997230316e-05,8.549999999996061e-05,2.9899999999916108e-05,0.00014409999999998038,1.929999999994436e-05,1.7700000000120394e-05,1.529999999938525e-05,1.2799999998591714e-05
1.2000000000345068e-06,1.4100000001349144e-05,5.110000000030368e-05,9.789999999987309e-05,3.170000000007889e-05,8.870000000005263e-05,1.8400000000085008e-05,1.7399999999945237e-05,1.1900000000508724e-05,1.3599999999058813e-05
1.2000000000345068e-06,2.800000000036107e-05,3.389999999825477e-05,0.0001092000000000315,3.2799999999832956e-05,0.00010979999999993773,1.880000000009652e-05,1.7600000000062007e-05,1.3000000000928935e-05,1.4400000001302262e-05
1.2999999998708493e-06,1.609999999629963e-05,3.869999999750462e-05,0.000117600000000051,3.590000000008864e-05,0.00013700000000005377,1.8400000000085008e-05,1.7500000000003627e-05,1.370000000022742e-05,1.6099999999852344e-05
1.2999999998708493e-06,1.650000000097407e-05,3.949999999974807e-05,0.00012889999999998736,3.660000000005325e-05,0.00016840000000017952,1.9100000000049633e-05,1.7599999999839966e-05,1.5199999999992997e-05,1.7099999999103946e-05
1.3000000000928935e-06,1.7299999996112092e-05,4.700000000212867e-05,0.00013799999999997148,3.9999999999817966e-05,0.00020139999999990718,1.8599999999979744e-05,1.7500000000003627e-05,1.6899999998543077e-05,1.8700000000038127e-05
1.2000000000345068e-06,1.8300000000692762e-05,4.450000000133514e-05,0.0001470999999999556,3.980000000014528e-05,0.0002467000000001552,1.8700000000038127e-05,1.7799999999956743e-05,1.860000000064588e-05,2.0400000000364568e-05
1.2999999998708493e-06,1.9399999999336615e-05,5.359999999399179e-05,0.0001651000000000291,4.269999999984009e-05,0.0002671000000000756,1.880000000009652e-05,1.7699999999898353e-05,2.1000000000270802e-05,2.2700000000597242e-05
1.2999999998708493e-06,1.9700000002842444e-05,6.049999999646616e-05,0.00016959999999999198,4.4900000000014366e-05,0.00031789999999998214,1.880000000009652e-05,1.7500000000003627e-05,2.329999999872712e-05,2.4600000001484545e-05
1.2000000000345068e-06,2.1199999999055308e-05,5.4400000003340665e-05,0.0001794999999999991,4.570000000003738e-05,0.0003545000000000353,1.85000000001434e-05,1.7700000000120394e-05,2.680000000054861e-05,2.800000000036108e-05
1.2000000000345068e-06,2.1800000006066966e-05,6.0400000002402976e-05,0.00018879999999987795,4.8400000000059507e-05,0.0004041999999999657,1.950000000006113e-05,1.7399999999945237e-05,2.9600000001295257e-05,3.0999999999892225e-05
1.3000000000928935e-06,2.260000000120499e-05,5.230000000011614e-05,0.00020009999999981434,4.9500000000035633e-05,0.0004564999999998597,1.8799999999874483e-05,1.7700000000120394e-05,3.419999999998424e-05,3.4400000000545106e-05
1.2999999998708493e-06,2.3599999998680232e-05,7.809999999608408e-05,0.00021210000000015936,5.2299999999894105e-05,0.0005328999999998363,1.919999999988597e-05,1.7699999999898353e-05,3.7100000000123146e-05,8.810000000103457e-05
1.3000000000928935e-06,2.4799999998492694e-05,2.4799999998492694e-05,0.00022359999999999047,5.4400000000009996e-05,0.0005773000000000027,1.8799999999874483e-05,1.7500000000003627e-05,4.1500000000027626e-05,4.1799999999980735e-05
1.2000000000345068e-06,2.4899999999661304e-05,8.910000000383889e-05,0.0002325000000000799,5.549999999998612e-05,0.0006209999999999827,1.919999999988597e-05,1.7700000000120394e-05,4.780000000081941e-05,4.5899999999932106e-05
1.2000000000345068e-06,2.6699999999379997e-05,9.299999999967667e-05,0.0002492999999998968,5.9799999999832216e-05,0.0007056999999999202,1.98999999998506e-05,1.8300000000026625e-05,5.280000000063012e-05,5.170000000020991e-05
